# Wordlist



# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO
2651	Guangzhou	back	103	背脊	3	648	back	326	胛脊
2652	Guangzhou	back	103	背脢	0b	653	back	326	背脢
2653	Suzhou	back	103	背心	0a	652	back	326	背心
2654	Suzhou	back	103	背	0	651	back	326	背
2655	Meixian	back	103	背梁[注]	0c	654	back	326	背梁[注]
2656	Meixian	back	103	脊背	3	648	back	326	胛脊
2657	Nanchang	back	103	背脊	3	648	back	326	胛脊
2658	Fuzhou	back	103	月-聘	5	646	back	326	月-聘
2659	Ningxia	back	103	脊梁	3	648	back	326	胛脊
2660	Lianchang	back	103	背脊	4	647	back	326	背脊
2661	Ningbo	back	103	背脊	4	647	back	326	背脊
2662	Yingshan	back	103	背瑯*骨	6d	643	back	326	背瑯*骨
2663	Chengdu	back	103	背	0	651	back	326	背
2664	Zhanping	back	103	目*脊	7	645	back	326	目*脊
2665	Zhanping	back	103	胶*脊	8	644	back	326	胶*脊
2666	Shanghai	back	103	背脊	4	647	back	326	背脊
2667	Shanghai_B	back	103	背脊	4	647	back	326	背脊
2668	Xiamen	back	103	胛脊	3	648	back	326	胛脊
2669	Anyi	back	103	背	0	651	back	326	背
2670	Beijing	back	103	[后]脊梁	2	649	back	326	[后]脊梁
2671	Wenzhou	back	103	背脊身	1	650	back	326	背脊身
2672	Wuhan	back	103	背[心]	0	651	back	326	背
2673	Wuhan	back	103	背[心]	0a	652	back	326	背心
2674	Taiyuan	back	103	脊背	e0	642	back	326	脊背
2675	Yuci	back	103	脊背	e0	642	back	326	脊背
2676	Changsha	back	103	背[心]	0	651	back	326	背
2677	Changsha	back	103	背[心]	0a	652	back	326	背心
2678	Shuangfeng	back	103	背[心]	0	651	back	326	背
2679	Shuangfeng	back	103	背[心]	0a	652	back	326	背心
#
2680	Guangzhou	bad	104	衰	3	661	bad	334	衰
2681	Guangzhou	bad	104	坏	1	663	bad	334	坏
2682	Guangzhou	bad	104	弊	4	660	bad	334	弊
2683	Suzhou	bad	104	坏	1	663	bad	334	坏
2684	Suzhou	bad	104	愀	5	659	bad	334	愀
2685	Meixian	bad	104	坏	1	663	bad	334	坏
2686	Meixian	bad	104	歪	6	658	bad	334	歪
2687	Nanchang	bad	104	坏	1	663	bad	334	坏
2688	Fuzhou	bad	104	呆*	7	657	bad	334	呆*
2689	Fuzhou	bad	104	否（指人品）	4	660	bad	334	弊
2690	Ningxia	bad	104	坏	1	663	bad	334	坏
2691	Lianchang	bad	104	坏	1	663	bad	334	坏
2692	Ningbo	bad	104	坏	1	663	bad	334	坏
2693	Yingshan	bad	104	拐*	2	662	bad	334	拐*
2694	Chengdu	bad	104	坏	1	663	bad	334	坏
2695	Zhanping	bad	104	歹：读be3	8	656	bad	334	歹：读be3
2696	Shanghai	bad	104	坏	1	663	bad	334	坏
2697	Shanghai_B	bad	104	坏	1	663	bad	334	坏
2698	Xiamen	bad	104	否phai~51坏	9	655	bad	334	否phai~51坏
2699	Anyi	bad	104	坏	1	663	bad	334	坏
2700	Anyi	bad	104	so2	10	667	bad	334	so2
2701	Beijing	bad	104	坏	1	663	bad	334	坏
