# Wordlist



# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO
#
612	Guangzhou	eye	25	眼	1	131	eye	2161	眼
613	Suzhou	eye	25	眼睛	1b	128	eye	2161	眼睛
614	Suzhou	eye	25	眼乌珠	1ca	127	eye	2161	眼乌珠
615	Meixian	eye	25	目珠	0a	133	eye	2161	目珠
616	Nanchang	eye	25	眼睛	1b	128	eye	2161	眼睛
617	Fuzhou	eye	25	目珠	0a	133	eye	2161	目珠
618	Fuzhou	eye	25	目	0	132	eye	2161	目
619	Ningxia	eye	25	眼睛	1b	128	eye	2161	眼睛
620	Lianchang	eye	25	目珠	0a	133	eye	2161	目珠
621	Ningbo	eye	25	眼	1	131	eye	2161	眼
622	Yingshan	eye	25	眼睛	1b	128	eye	2161	眼睛
623	Chengdu	eye	25	眼	1	131	eye	2161	眼
624	Zhanping	eye	25	目（tsiu1）	0	132	eye	2161	目
625	Zhanping	eye	25	目（tsiu1）	0f	135	eye	2161	目瞅
626	Shanghai	eye	25	眼睛	1b	128	eye	2161	眼睛
627	Shanghai_B	eye	25	眼睛	1b	128	eye	2161	眼睛
628	Xiamen	eye	25	目瞅	0f	135	eye	2161	目瞅
629	Anyi	eye	25	眼睛	1b	128	eye	2161	眼睛
630	Beijing	eye	25	眼睛	1b	128	eye	2161	眼睛
631	Wenzhou	eye	25	眼乌珠	1ca	127	eye	2161	眼乌珠
632	Wenzhou	eye	25	眼[灵*珠]	1(da)	134	eye	2161	眼[灵*珠]
633	Wenzhou	eye	25	眼[灵*珠]	1da	130	eye	2161	眼[灵*珠]
634	Taibei	eye	25	bak33 tsiu44目珠	0a	133	eye	2161	目珠
635	Wuhan	eye	25	眼睛	1b	128	eye	2161	眼睛
636	Taiyuan	eye	25	眼[睛]	1	131	eye	2161	眼
637	Taiyuan	eye	25	眼[睛]	1b	128	eye	2161	眼睛
638	Yuci	eye	25	眼[睛]	1	131	eye	2161	眼
639	Yuci	eye	25	眼[睛]	1b	128	eye	2161	眼睛
640	Changsha	eye	25	眼睛	1b	128	eye	2161	眼睛
641	Shuangfeng	eye	25	眼珠	1a	129	eye	2161	眼珠
#
3029	Guangzhou	fall	116	跌	2	779	dust	1881	跌
3030	Guangzhou	fall	116	手-耷	6	775	dust	1881	手-耷
3031	Suzhou	fall	116	夺*	5	776	dust	1881	夺*
3032	Meixian	fall	116	跌	2	779	dust	1881	跌
3033	Nanchang	fall	116	跌	2	779	dust	1881	跌
3034	Fuzhou	fall	116	逿	4	777	dust	1881	逿
3035	Ningxia	fall	116	掉	3	778	dust	1881	掉
3036	Lianchang	fall	116	跌	2	779	dust	1881	跌
3037	Ningbo	fall	116	掉落	{31}	783	dust	1881	掉落
3038	Yingshan	fall	116	掉	3	778	dust	1881	掉
3039	Chengdu	fall	116	掉	3	778	dust	1881	掉
3040	Zhanping	fall	116	ko2	10	781	dust	1881	ko2
3041	Shanghai	fall	116	落	1	780	dust	1881	落
3042	Shanghai_B	fall	116	落	1	780	dust	1881	落
3043	Xiamen	fall	116	落	1	780	dust	1881	落
3044	Xiamen	fall	116	[交*]落	1	780	dust	1881	落
3045	Xiamen	fall	116	[交*]落	a1	773	dust	1881	[交*]落
3046	Anyi	fall	116	跌	2	779	dust	1881	跌
3047	Anyi	fall	116	落	1	780	dust	1881	落
3048	Beijing	fall	116	掉	3	778	dust	1881	掉
3049	Wenzhou	fall	116	遁*	7	774	dust	1881	遁*
3050	Taibei	fall	116	lak33落	{81}	782	dust	1881	lak33落
3051	Wuhan	fall	116	掉	3	778	dust	1881	掉
3052	Taiyuan	fall	116	跌	2	779	dust	1881	跌
3053	Yuci	fall	116	跌	2	779	dust	1881	跌
3054	Changsha	fall	116	跌	2	779	dust	1881	跌
3055	Changsha	fall	116	落	1	780	dust	1881	落
3056	Shuangfeng	fall	116	绊	9	772	dust	1881	绊
#
3057	Guangzhou	far	117	远	1	784	far	2216	远
3058	Suzhou	far	117	远	1	784	far	2216	远
3059	Meixian	far	117	远	1	784	far	2216	远
3060	Nanchang	far	117	远	1	784	far	2216	远
3061	Fuzhou	far	117	远	1	784	far	2216	远
3062	Ningxia	far	117	远	1	784	far	2216	远
3063	Lianchang	far	117	远	1	784	far	2216	远
3064	Ningbo	far	117	远	1	784	far	2216	远
3065	Yingshan	far	117	远	1	784	far	2216	远
3066	Chengdu	far	117	远	1	784	far	2216	远
3067	Zhanping	far	117	远	1	784	far	2216	远
3068	Shanghai	far	117	远	1	784	far	2216	远
3069	Shanghai_B	far	117	远	1	784	far	2216	远
3070	Xiamen	far	117	远	1	784	far	2216	远
3071	Anyi	far	117	远	1	784	far	2216	远
3072	Beijing	far	117	远	1	784	far	2216	远
3073	Wenzhou	far	117	远	1	784	far	2216	远
3074	Taibei	far	117	hng33遠	1	784	far	2216	远
3075	Wuhan	far	117	远	1	784	far	2216	远
3076	Taiyuan	far	117	远	1	784	far	2216	远
3077	Yuci	far	117	远	1	784	far	2216	远
3078	Changsha	far	117	远	1	784	far	2216	远
3079	Shuangfeng	far	117	远	1	784	far	2216	远
#
3080	Guangzhou	father	118	老豆*	a7	795	father	2234	老豆*
3081	Guangzhou	father	118	阿爸	b3	793	father	2234	阿爸
3082	Guangzhou	father	118	爸爸	3e	801	father	2234	爸爸
3083	Suzhou	father	118	爷	1	800	father	2234	爷
3084	Suzhou	father	118	爹爹	2b	804	father	2234	爹爹
3085	Meixian	father	118	爷子	1a	788	father	2234	爷子
3086	Meixian	father	118	阿爸	b2	792	father	2234	阿爸
3087	Nanchang	father	118	爸爸	3e	801	father	2234	爸爸
3088	Nanchang	father	118	爷（背称）	1	800	father	2234	爷
3089	Fuzhou	father	118	郎爸	c3	806	father	2234	郎爸
3090	Fuzhou	father	118	依*爹	d2	786	father	2234	依*爹
3091	Fuzhou	father	118	依*爷	d1	785	father	2234	依*爷
3092	Ningxia	father	118	爹	2	799	father	2234	爹
3093	Lianchang	father	118	爷[背称]	1	800	father	2234	爷
3094	Ningbo	father	118	阿爸	b3	793	father	2234	阿爸
3095	Yingshan	father	118	伯伯	5	798	father	2234	伯伯
3096	Chengdu	father	118	爸[爸]	3(3)	789	father	2234	爸[爸]
3097	Chengdu	father	118	爸[爸]	33	803	father	2234	爸[爸]
3098	Zhanping	father	118	老sia5	a4	796	father	2234	老sia5
3099	Zhanping	father	118	阿父	b0	794	father	2234	阿父
3100	Zhanping	father	118	阿爹	b2	792	father	2234	阿爸
3101	Zhanping	father	118	阿爸	b3	793	father	2234	阿爸
3102	Shanghai	father	118	爷	1	800	father	2234	爷
3103	Shanghai_B	father	118	爷	1	800	father	2234	爷
3104	Xiamen	father	118	老父	a0	797	father	2234	老父
3105	Xiamen	father	118	阿爸	b3	793	father	2234	阿爸
3106	Anyi	father	118	爷(背稱)	1	800	father	2234	爷
3107	Anyi	father	118	爹嘚(面稱)	2c	805	father	2234	爹爹
3108	Anyi	father	118	爸爸(面稱)	3e	801	father	2234	爸爸
3109	Beijing	father	118	爸[爸]	3e	801	father	2234	爸爸
3110	Beijing	father	118	爹	2	799	father	2234	爹
3111	Wenzhou	father	118	阿伯	b5	791	father	2234	阿伯
3112	Wenzhou	father	118	阿爸	b3	793	father	2234	阿爸
3113	Wenzhou	father	118	阿大	b6	790	father	2234	阿大
3114	Taibei	father	118	lan33 pe33老父	a0	797	father	2234	老父
3115	Wuhan	father	118	爸爸	3e	801	father	2234	爸爸
3116	Taiyuan	father	118	爸爸	3e	801	father	2234	爸爸
3117	Yuci	father	118	大大	6e	802	father	2234	大大
3118	Changsha	father	118	爷老倌	1d	787	father	2234	爷老倌
3119	Changsha	father	118	爹爹	2c	805	father	2234	爹爹
3120	Shuangfeng	father	118	爹爹	2c	805	father	2234	爹爹
3121	Shuangfeng	father	118	爷	1	800	father	2234	爷
#
3122	Guangzhou	fear	119	怕	3	813	fear (V)	2252	怕
3123	Guangzhou	fear	119	惊	4	812	fear (V)	2252	惊
3124	Guangzhou	fear	119	慌	7	810	fear (V)	2252	慌
3125	Suzhou	fear	119	怕	3	813	fear (V)	2252	怕
3126	Meixian	fear	119	畏	0	815	fear (V)	2252	畏
3127	Meixian	fear	119	惊	4	812	fear (V)	2252	惊
3128	Meixian	fear	119	怕	3	813	fear (V)	2252	怕
3129	Nanchang	fear	119	怕	3	813	fear (V)	2252	怕
3130	Fuzhou	fear	119	惊	4	812	fear (V)	2252	惊
3131	Ningxia	fear	119	怕	3	813	fear (V)	2252	怕
3132	Lianchang	fear	119	吓	8	809	fear (V)	2252	吓
3133	Ningbo	fear	119	怕	3	813	fear (V)	2252	怕
3134	Yingshan	fear	119	怕	3	813	fear (V)	2252	怕
3135	Chengdu	fear	119	怕	3	813	fear (V)	2252	怕
3136	Zhanping	fear	119	惊	4	812	fear (V)	2252	惊
3137	Shanghai	fear	119	吓	8	809	fear (V)	2252	吓
3138	Shanghai_B	fear	119	怕[吓指使人怕]	3	813	fear (V)	2252	怕
3139	Xiamen	fear	119	惊	4	812	fear (V)	2252	惊
3140	Xiamen	fear	119	慑	9	808	fear (V)	2252	慑
3141	Anyi	fear	119	怕	3	813	fear (V)	2252	怕
3142	Anyi	fear	119	着吓	a8	816	fear (V)	2252	着吓
3143	Beijing	fear	119	怕	3	813	fear (V)	2252	怕
3144	Beijing	fear	119	怵	6	811	fear (V)	2252	怵
3145	Wenzhou	fear	119	怕	3	813	fear (V)	2252	怕
3146	Wenzhou	fear	119	惊	4	812	fear (V)	2252	惊
3147	Taibei	fear	119	kiaN44驚	4	812	fear (V)	2252	惊
3148	Wuhan	fear	119	怕	3	813	fear (V)	2252	怕
3149	Taiyuan	fear	119	[害]怕	{(5)3}	807	fear (V)	2252	[害]怕
3150	Taiyuan	fear	119	[害]怕	{53}	814	fear (V)	2252	[害]怕
3151	Yuci	fear	119	[害]怕	{(5)3}	807	fear (V)	2252	[害]怕
3152	Yuci	fear	119	[害]怕	{53}	814	fear (V)	2252	[害]怕
3153	Changsha	fear	119	怕	3	813	fear (V)	2252	怕
3154	Shuangfeng	fear	119	怕	3	813	fear (V)	2252	怕
#
642	Guangzhou	feather	26	毛	1	138	feather	2254	毛
643	Suzhou	feather	26	羽毛	{01}	136	feather	2254	羽毛
644	Meixian	feather	26	毛	1	138	feather	2254	毛
645	Nanchang	feather	26	毛	1	138	feather	2254	毛
646	Fuzhou	feather	26	[毛]毛	1	138	feather	2254	毛
647	Fuzhou	feather	26	[毛]毛	b1	141	feather	2254	[毛]毛
648	Ningxia	feather	26	毛	1	138	feather	2254	毛
649	Lianchang	feather	26	毛	1	138	feather	2254	毛
650	Ningbo	feather	26	羽毛	{01}	136	feather	2254	羽毛
651	Yingshan	feather	26	毛	1	138	feather	2254	毛
652	Chengdu	feather	26	毛	1	138	feather	2254	毛
653	Zhanping	feather	26	毛	1	138	feather	2254	毛
654	Shanghai	feather	26	毛	1	138	feather	2254	毛
655	Shanghai_B	feather	26	毛	1	138	feather	2254	毛
656	Xiamen	feather	26	毛	1	138	feather	2254	毛
657	Anyi	feather	26	毛	1	138	feather	2254	毛
658	Beijing	feather	26	毛儿	1a	137	feather	2254	毛儿
659	Wenzhou	feather	26	毛羽	{10}	139	feather	2254	毛羽
660	Taibei	feather	26	boN44毛，mng13毛?	c1	140	feather	2254	boN44毛，mng13毛?
661	Wuhan	feather	26	毛	1	138	feather	2254	毛
662	Taiyuan	feather	26	羽毛	{01}	136	feather	2254	羽毛
663	Yuci	feather	26	羽毛	{01}	136	feather	2254	羽毛
664	Changsha	feather	26	毛	1	138	feather	2254	毛
665	Shuangfeng	feather	26	毛	1	138	feather	2254	毛
#
3155	Guangzhou	few	120	少	0	818	few	2292	少
3156	Suzhou	few	120	少	0	818	few	2292	少
3157	Meixian	few	120	少	0	818	few	2292	少
3158	Nanchang	few	120	少	0	818	few	2292	少
3159	Fuzhou	few	120	少	0	818	few	2292	少
3160	Ningxia	few	120	少	0	818	few	2292	少
3161	Lianchang	few	120	少	0	818	few	2292	少
3162	Ningbo	few	120	缺	1	817	few	2292	缺
3163	Yingshan	few	120	少	0	818	few	2292	少
3164	Chengdu	few	120	少	0	818	few	2292	少
3165	Zhanping	few	120	少	0	818	few	2292	少
3166	Shanghai	few	120	少	0	818	few	2292	少
3167	Shanghai_B	few	120	少	0	818	few	2292	少
3168	Xiamen	few	120	少	0	818	few	2292	少
3169	Anyi	few	120	少	0	818	few	2292	少
3170	Beijing	few	120	少	0	818	few	2292	少
3171	Wenzhou	few	120	少	0	818	few	2292	少
3172	Taibei	few	120	tsio53少	0	818	few	2292	少
3173	Wuhan	few	120	少	0	818	few	2292	少
3174	Taiyuan	few	120	少	0	818	few	2292	少
3175	Yuci	few	120	少	0	818	few	2292	少
3176	Changsha	few	120	少	0	818	few	2292	少
3177	Shuangfeng	few	120	少	0	818	few	2292	少
#
3178	Guangzhou	fight	121	打交	6	824	fight (V)	2303	打交
3179	Suzhou	fight	121	相打	4	826	fight (V)	2303	相打
3180	Suzhou	fight	121	打相打	5	825	fight (V)	2303	打相打
3181	Meixian	fight	121	相打	4	826	fight (V)	2303	相打
3182	Meixian	fight	121	打交子	6a	819	fight (V)	2303	打交子
3183	Nanchang	fight	121	打架	1	829	fight (V)	2303	打架
3184	Fuzhou	fight	121	相拍	a3	820	fight (V)	2303	相拍
3185	Ningxia	fight	121	打锤	7	823	fight (V)	2303	打锤
3186	Lianchang	fight	121	打tu51	8	822	fight (V)	2303	打tu51
3187	Ningbo	fight	121	打相打	5	825	fight (V)	2303	打相打
3188	Yingshan	fight	121	打架	1	829	fight (V)	2303	打架
3189	Chengdu	fight	121	打架	1	829	fight (V)	2303	打架
3190	Zhanping	fight	121	相拍	a3	820	fight (V)	2303	相拍
3191	Shanghai	fight	121	打相打	5	825	fight (V)	2303	打相打
3192	Shanghai_B	fight	121	打相打	5	825	fight (V)	2303	打相打
3193	Xiamen	fight	121	相拍	a3	820	fight (V)	2303	相拍
3194	Anyi	fight	121	打架	1	829	fight (V)	2303	打架
3195	Beijing	fight	121	打架	1	829	fight (V)	2303	打架
3196	Beijing	fight	121	掐架	9	821	fight (V)	2303	掐架
3197	Beijing	fight	121	茬*架	10	831	fight (V)	2303	茬*架
3198	Wenzhou	fight	121	相打	4	826	fight (V)	2303	相打
3199	Wenzhou	fight	121	打起	11	830	fight (V)	2303	打起
3200	Taibei	fight	121	phah32拍	3	827	fight (V)	2303	phah32拍
3201	Wuhan	fight	121	打架	1	829	fight (V)	2303	打架
3202	Taiyuan	fight	121	打架	1	829	fight (V)	2303	打架
3203	Yuci	fight	121	打架	1	829	fight (V)	2303	打架
3204	Changsha	fight	121	打架	1	829	fight (V)	2303	打架
3205	Shuangfeng	fight	121	打架	1	829	fight (V)	2303	打架
3206	Shuangfeng	fight	121	斗打	2	828	fight (V)	2303	斗打
#
666	Guangzhou	fire	27	火	0	143	fire	2336	火
667	Suzhou	fire	27	火	0	143	fire	2336	火
668	Meixian	fire	27	火	0	143	fire	2336	火
669	Nanchang	fire	27	火	0	143	fire	2336	火
670	Fuzhou	fire	27	火	0	143	fire	2336	火
671	Ningxia	fire	27	火	0	143	fire	2336	火
672	Lianchang	fire	27	火	0	143	fire	2336	火
673	Ningbo	fire	27	火	0	143	fire	2336	火
674	Yingshan	fire	27	火	0	143	fire	2336	火
675	Chengdu	fire	27	火	0	143	fire	2336	火
676	Zhanping	fire	27	火	0	143	fire	2336	火
677	Shanghai	fire	27	火	0	143	fire	2336	火
678	Shanghai_B	fire	27	火	0	143	fire	2336	火
679	Xiamen	fire	27	火	0	143	fire	2336	火
680	Anyi	fire	27	火	0	143	fire	2336	火
681	Beijing	fire	27	火	0	143	fire	2336	火
682	Wenzhou	fire	27	火种	0a	142	fire	2336	火种
683	Taibei	fire	27	hue53火	0	143	fire	2336	火
684	Wuhan	fire	27	火	0	143	fire	2336	火
685	Taiyuan	fire	27	火	0	143	fire	2336	火
686	Yuci	fire	27	火	0	143	fire	2336	火
687	Changsha	fire	27	火	0	143	fire	2336	火
688	Shuangfeng	fire	27	火	0	143	fire	2336	火
#
689	Guangzhou	fish	28	鱼	0	144	fish	2345	鱼
690	Suzhou	fish	28	鱼	0	144	fish	2345	鱼
691	Meixian	fish	28	鱼	0	144	fish	2345	鱼
692	Nanchang	fish	28	鱼	0	144	fish	2345	鱼
693	Fuzhou	fish	28	鱼	0	144	fish	2345	鱼
694	Ningxia	fish	28	鱼	0	144	fish	2345	鱼
695	Lianchang	fish	28	鱼	0	144	fish	2345	鱼
696	Ningbo	fish	28	鱼	0	144	fish	2345	鱼
697	Yingshan	fish	28	鱼	0	144	fish	2345	鱼
698	Chengdu	fish	28	鱼	0	144	fish	2345	鱼
699	Zhanping	fish	28	鱼	0	144	fish	2345	鱼
700	Shanghai	fish	28	鱼	0	144	fish	2345	鱼
701	Shanghai_B	fish	28	鱼	0	144	fish	2345	鱼
702	Xiamen	fish	28	鱼	0	144	fish	2345	鱼
703	Anyi	fish	28	鱼	0	144	fish	2345	鱼
704	Beijing	fish	28	鱼	0	144	fish	2345	鱼
705	Wenzhou	fish	28	鱼	0	144	fish	2345	鱼
706	Taibei	fish	28	hi13魚	0	144	fish	2345	鱼
707	Wuhan	fish	28	鱼	0	144	fish	2345	鱼
708	Taiyuan	fish	28	鱼	0	144	fish	2345	鱼
709	Yuci	fish	28	鱼	0	144	fish	2345	鱼
710	Changsha	fish	28	鱼	0	144	fish	2345	鱼
711	Shuangfeng	fish	28	鱼	0	144	fish	2345	鱼
#
3207	Guangzhou	five	122	五	0	832	five	2368	五
3208	Suzhou	five	122	五	0	832	five	2368	五
3209	Meixian	five	122	五	0	832	five	2368	五
3210	Nanchang	five	122	五	0	832	five	2368	五
3211	Fuzhou	five	122	五	0	832	five	2368	五
3212	Ningxia	five	122	五	0	832	five	2368	五
3213	Lianchang	five	122	五	0	832	five	2368	五
3214	Ningbo	five	122	五	0	832	five	2368	五
3215	Yingshan	five	122	五	0	832	five	2368	五
3216	Chengdu	five	122	五	0	832	five	2368	五
3217	Zhanping	five	122	五	0	832	five	2368	五
3218	Shanghai	five	122	五	0	832	five	2368	五
3219	Shanghai_B	five	122	五	0	832	five	2368	五
3220	Xiamen	five	122	五	0	832	five	2368	五
3221	Anyi	five	122	五	0	832	five	2368	五
3222	Beijing	five	122	五	0	832	five	2368	五
3223	Wenzhou	five	122	五	0	832	five	2368	五
3224	Taibei	five	122	ngoo33五	0	832	five	2368	五
3225	Wuhan	five	122	五	0	832	five	2368	五
3226	Taiyuan	five	122	五	0	832	five	2368	五
3227	Yuci	five	122	五	0	832	five	2368	五
3228	Changsha	five	122	五	0	832	five	2368	五
3229	Shuangfeng	five	122	五	0	832	five	2368	五
#
712	Guangzhou	flesh	29	肉	0	146	meat	3824	肉
713	Suzhou	flesh	29	肉	0	146	meat	3824	肉
714	Meixian	flesh	29	肉	0	146	meat	3824	肉
715	Nanchang	flesh	29	肉	0	146	meat	3824	肉
716	Fuzhou	flesh	29	肉	0	146	meat	3824	肉
717	Ningxia	flesh	29	肉	0	146	meat	3824	肉
718	Lianchang	flesh	29	肉	0	146	meat	3824	肉
719	Ningbo	flesh	29	肉	0	146	meat	3824	肉
720	Yingshan	flesh	29	肉	0	146	meat	3824	肉
721	Chengdu	flesh	29	肉	0	146	meat	3824	肉
722	Zhanping	flesh	29	ba7	1	145	meat	3824	ba7
723	Shanghai	flesh	29	肉	0	146	meat	3824	肉
724	Shanghai_B	flesh	29	肉	0	146	meat	3824	肉
725	Xiamen	flesh	29	[]ba?32	1	145	meat	3824	ba7
726	Anyi	flesh	29	肉	0	146	meat	3824	肉
727	Beijing	flesh	29	肉	0	146	meat	3824	肉
728	Wenzhou	flesh	29	肉	0	146	meat	3824	肉
729	Taibei	flesh	29	bah32?	1	145	meat	3824	ba7
730	Wuhan	flesh	29	肉	0	146	meat	3824	肉
731	Taiyuan	flesh	29	猪肉	0	146	meat	3824	肉
732	Yuci	flesh	29	猪肉	0	146	meat	3824	肉
733	Changsha	flesh	29	肉	0	146	meat	3824	肉
734	Shuangfeng	flesh	29	肉	0	146	meat	3824	肉
#
3230	Guangzhou	float	123	浮（口语音[phou21]）	1	837	float (V)	2407	浮
3231	Suzhou	float	123	ÜtÁ«n	2	836	float (V)	2407	ÜtÁ«n
3232	Meixian	float	123	浮	1	837	float (V)	2407	浮
3233	Nanchang	float	123	泡（phau24）	1	837	float (V)	2407	浮
3234	Fuzhou	float	123	浮\漂	0	838	float (V)	2407	浮
3235	Ningxia	float	123	漂、浮	0	838	float (V)	2407	浮
3236	Lianchang	float	123	浮	1	837	float (V)	2407	浮
3237	Ningbo	float	123	漂浮	{01}	833	float (V)	2407	漂浮
3238	Yingshan	float	123	漂	0	838	float (V)	2407	浮
3239	Chengdu	float	123	漂	0	838	float (V)	2407	浮
3240	Zhanping	float	123	浮	1	837	float (V)	2407	浮
3241	Shanghai	float	123	漂	0	838	float (V)	2407	浮
3242	Shanghai_B	float	123	漂	0	838	float (V)	2407	浮
3243	Xiamen	float	123	浮	1	837	float (V)	2407	浮
3244	Anyi	float	123	浮	1	837	float (V)	2407	浮
3245	Beijing	float	123	漂	0	838	float (V)	2407	浮
3246	Wenzhou	float	123	浮[vOy2]	1	837	float (V)	2407	浮
3247	Wenzhou	float	123	推	4	835	float (V)	2407	推
3248	Taibei	float	123	phu13浮	1	837	float (V)	2407	浮
3249	Wuhan	float	123	浮	0	838	float (V)	2407	浮
3250	Wuhan	float	123	漂	1	837	float (V)	2407	浮
3251	Taiyuan	float	123	漂	0	838	float (V)	2407	浮
3252	Yuci	float	123	漂	0	838	float (V)	2407	浮
3253	Changsha	float	123	漂浮	{01}	833	float (V)	2407	漂浮
3254	Shuangfeng	float	123	袍起*	1a	834	float (V)	2407	袍起*
#
3255	Guangzhou	flow	124	流	0	841	flow (V)	2421	流
3256	Suzhou	flow	124	流	0	841	flow (V)	2421	流
3257	Meixian	flow	124	流	0	841	flow (V)	2421	流
3258	Nanchang	flow	124	流	0	841	flow (V)	2421	流
3259	Fuzhou	flow	124	流	0	841	flow (V)	2421	流
3260	Ningxia	flow	124	淌	2	839	flow (V)	2421	淌
3261	Lianchang	flow	124	流	0	841	flow (V)	2421	流
3262	Ningbo	flow	124	流	0	841	flow (V)	2421	流
3263	Yingshan	flow	124	流	0	841	flow (V)	2421	流
3264	Chengdu	flow	124	流	0	841	flow (V)	2421	流
3265	Zhanping	flow	124	流	0	841	flow (V)	2421	流
3266	Shanghai	flow	124	流	0	841	flow (V)	2421	流
3267	Shanghai_B	flow	124	流	0	841	flow (V)	2421	流
3268	Xiamen	flow	124	流	0	841	flow (V)	2421	流
3269	Anyi	flow	124	流	0	841	flow (V)	2421	流
3270	Beijing	flow	124	流	0	841	flow (V)	2421	流
3271	Beijing	flow	124	嘀嗒（da）	1	840	flow (V)	2421	嘀嗒（da）
3272	Wenzhou	flow	124	流	0	841	flow (V)	2421	流
3273	Taibei	flow	124	lau13流	0	841	flow (V)	2421	流
3274	Wuhan	flow	124	流	0	841	flow (V)	2421	流
3275	Taiyuan	flow	124	流	0	841	flow (V)	2421	流
3276	Yuci	flow	124	流	0	841	flow (V)	2421	流
3277	Changsha	flow	124	流	0	841	flow (V)	2421	流
3278	Shuangfeng	flow	124	流	0	841	flow (V)	2421	流
#
3279	Guangzhou	flower	125	花	0	843	flower	2424	花
3280	Suzhou	flower	125	花	0	843	flower	2424	花
3281	Meixian	flower	125	花	0	843	flower	2424	花
3282	Nanchang	flower	125	花	0	843	flower	2424	花
3283	Fuzhou	flower	125	花	0	843	flower	2424	花
3284	Ningxia	flower	125	花	0	843	flower	2424	花
3285	Lianchang	flower	125	花	0	843	flower	2424	花
3286	Ningbo	flower	125	花	0	843	flower	2424	花
3287	Yingshan	flower	125	花	0	843	flower	2424	花
3288	Chengdu	flower	125	花	0	843	flower	2424	花
3289	Zhanping	flower	125	花	0	843	flower	2424	花
3290	Shanghai	flower	125	花	0	843	flower	2424	花
3291	Shanghai_B	flower	125	花	0	843	flower	2424	花
3292	Xiamen	flower	125	花	0	843	flower	2424	花
3293	Anyi	flower	125	花	0	843	flower	2424	花
3294	Beijing	flower	125	花儿	0a	842	flower	2424	花儿
3295	Wenzhou	flower	125	花	0	843	flower	2424	花
3296	Taibei	flower	125	hue44花	0	843	flower	2424	花
3297	Wuhan	flower	125	花	0	843	flower	2424	花
3298	Taiyuan	flower	125	花	0	843	flower	2424	花
3299	Yuci	flower	125	花儿	0a	842	flower	2424	花儿
3300	Changsha	flower	125	花	0	843	flower	2424	花
3301	Shuangfeng	flower	125	花	0	843	flower	2424	花
#
735	Guangzhou	fly	30	飞	0	147	fly (V)	2433	飞
736	Suzhou	fly	30	飞	0	147	fly (V)	2433	飞
737	Meixian	fly	30	飞	0	147	fly (V)	2433	飞
738	Nanchang	fly	30	飞	0	147	fly (V)	2433	飞
739	Fuzhou	fly	30	飞	0	147	fly (V)	2433	飞
740	Ningxia	fly	30	飞	0	147	fly (V)	2433	飞
741	Lianchang	fly	30	飞	0	147	fly (V)	2433	飞
742	Ningbo	fly	30	飞	0	147	fly (V)	2433	飞
743	Yingshan	fly	30	飞	0	147	fly (V)	2433	飞
744	Chengdu	fly	30	飞	0	147	fly (V)	2433	飞
745	Zhanping	fly	30	飞	0	147	fly (V)	2433	飞
746	Shanghai	fly	30	飞	0	147	fly (V)	2433	飞
747	Shanghai_B	fly	30	飞	0	147	fly (V)	2433	飞
748	Xiamen	fly	30	飞	0	147	fly (V)	2433	飞
749	Anyi	fly	30	飞	0	147	fly (V)	2433	飞
750	Beijing	fly	30	飞	0	147	fly (V)	2433	飞
751	Wenzhou	fly	30	飞	0	147	fly (V)	2433	飞
752	Taibei	fly	30	pue44飛	0	147	fly (V)	2433	飞
753	Wuhan	fly	30	飞	0	147	fly (V)	2433	飞
754	Taiyuan	fly	30	飞	0	147	fly (V)	2433	飞
755	Yuci	fly	30	飞	0	147	fly (V)	2433	飞
756	Changsha	fly	30	飞	0	147	fly (V)	2433	飞
757	Shuangfeng	fly	30	飞	0	147	fly (V)	2433	飞
#
3302	Guangzhou	fog	126	雾	0	851	fog	2441	雾
3303	Suzhou	fog	126	迷露	a2	845	fog	2441	迷露
3304	Meixian	fog	126	雾	0	851	fog	2441	雾
3305	Meixian	fog	126	水-蒙纱	b7	853	fog	2441	水-蒙纱
3306	Nanchang	fog	126	雾	0	851	fog	2441	雾
3307	Fuzhou	fog	126	雨-矛	3	848	fog	2441	雨-矛
3308	Ningxia	fog	126	雾	0	851	fog	2441	雾
3309	Lianchang	fog	126	露	2	849	fog	2441	露
3310	Ningbo	fog	126	雾	0	851	fog	2441	雾
3311	Yingshan	fog	126	帐子	6a	844	fog	2441	帐子
3312	Chengdu	fog	126	雾	0	851	fog	2441	雾
3313	Zhanping	fog	126	雾	0	851	fog	2441	雾
3314	Shanghai	fog	126	雾	0	851	fog	2441	雾
3315	Shanghai_B	fog	126	雾	0	851	fog	2441	雾
3316	Xiamen	fog	126	雾	0	851	fog	2441	雾
3317	Xiamen	fog	126	雨-矛	3	848	fog	2441	雨-矛
3318	Anyi	fog	126	雾露	{02}	854	fog	2441	雾露
3319	Beijing	fog	126	雾	0	851	fog	2441	雾
3320	Wenzhou	fog	126	幔	5	846	fog	2441	幔
3321	Wenzhou	fog	126	雾露[my6 ly6]	{02}	854	fog	2441	雾露
3322	Taibei	fog	126	bu33霧	0	851	fog	2441	雾
3323	Wuhan	fog	126	雾	0	851	fog	2441	雾
3324	Taiyuan	fog	126	雾	0	851	fog	2441	雾
3325	Yuci	fog	126	雾	0	851	fog	2441	雾
3326	Changsha	fog	126	雾	0	851	fog	2441	雾
3327	Changsha	fog	126	罩子	4a	852	fog	2441	罩子
