# Wordlist
@json: {"seeds": ["Nanchang,Yuci,Shanghai", "Fuzhou,Yingshan,Beijing"]}

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO	SEEDID	LOAN
3216	Chengdu	five	122	五	0	832	five	2368	五	832	0
3217	Zhanping	five	122	五	0	832	five	2368	五	832	0
3218	Shanghai	five	122	五	0	832	five	2368	五	832	0
3219	Shanghai_B	five	122	五	0	832	five	2368	五	832	0
3220	Xiamen	five	122	五	0	832	five	2368	五	832	0
3221	Anyi	five	122	五	0	832	five	2368	五	832	0
3222	Beijing	five	122	五	0	832	five	2368	五	832	0
3223	Wenzhou	five	122	五	0	832	five	2368	五	832	0
3224	Taibei	five	122	ngoo33五	0	832	five	2368	五	832	0
3225	Wuhan	five	122	五	0	832	five	2368	五	832	0
3226	Taiyuan	five	122	五	0	832	five	2368	五	832	0
3227	Yuci	five	122	五	0	832	five	2368	五	832	0
3228	Changsha	five	122	五	0	832	five	2368	五	832	0
3229	Shuangfeng	five	122	五	0	832	five	2368	五	832	0
#
712	Guangzhou	flesh	29	肉	0	146	meat	3824	肉	146	0
713	Suzhou	flesh	29	肉	0	146	meat	3824	肉	146	0
714	Meixian	flesh	29	肉	0	146	meat	3824	肉	146	0
715	Nanchang	flesh	29	肉	0	146	meat	3824	肉	146	0
716	Fuzhou	flesh	29	肉	0	146	meat	3824	肉	146	0
717	Ningxia	flesh	29	肉	0	146	meat	3824	肉	146	0
718	Lianchang	flesh	29	肉	0	146	meat	3824	肉	146	0
719	Ningbo	flesh	29	肉	0	146	meat	3824	肉	146	0
720	Yingshan	flesh	29	肉	0	146	meat	3824	肉	146	0
721	Chengdu	flesh	29	肉	0	146	meat	3824	肉	146	0
722	Zhanping	flesh	29	ba7	1	145	meat	3824	ba7	145	0
723	Shanghai	flesh	29	肉	0	146	meat	3824	肉	146	0
724	Shanghai_B	flesh	29	肉	0	146	meat	3824	肉	146	0
725	Xiamen	flesh	29	[]ba?32	1	145	meat	3824	ba7	145	0
726	Anyi	flesh	29	肉	0	146	meat	3824	肉	146	0
727	Beijing	flesh	29	肉	0	146	meat	3824	肉	146	0
728	Wenzhou	flesh	29	肉	0	146	meat	3824	肉	146	0
729	Taibei	flesh	29	bah32?	1	145	meat	3824	ba7	145	0
730	Wuhan	flesh	29	肉	0	146	meat	3824	肉	146	0
731	Taiyuan	flesh	29	猪肉	0	146	meat	3824	肉	146	0
732	Yuci	flesh	29	猪肉	0	146	meat	3824	肉	146	0
733	Changsha	flesh	29	肉	0	146	meat	3824	肉	146	0
734	Shuangfeng	flesh	29	肉	0	146	meat	3824	肉	146	0
#
3230	Guangzhou	float	123	浮（口语音[phou21]）	1	837	float (V)	2407	浮	837	0
3231	Suzhou	float	123	ÜtÁ«n	2	836	float (V)	2407	ÜtÁ«n	836	0
3232	Meixian	float	123	浮	1	837	float (V)	2407	浮	837	0
3233	Nanchang	float	123	泡（phau24）	1	837	float (V)	2407	浮	837	0
3234	Fuzhou	float	123	浮\漂	0	838	float (V)	2407	浮	838	0
3235	Ningxia	float	123	漂、浮	0	838	float (V)	2407	浮	838	0
3236	Lianchang	float	123	浮	1	837	float (V)	2407	浮	837	0
3237	Ningbo	float	123	漂浮	{01}	833	float (V)	2407	漂浮	833	0
3238	Yingshan	float	123	漂	0	838	float (V)	2407	浮	838	0
3239	Chengdu	float	123	漂	0	838	float (V)	2407	浮	838	0
3240	Zhanping	float	123	浮	1	837	float (V)	2407	浮	837	0
3241	Shanghai	float	123	漂	0	838	float (V)	2407	浮	838	0
3242	Shanghai_B	float	123	漂	0	838	float (V)	2407	浮	838	0
3243	Xiamen	float	123	浮	1	837	float (V)	2407	浮	837	0
3244	Anyi	float	123	浮	1	837	float (V)	2407	浮	837	0
3245	Beijing	float	123	漂	0	838	float (V)	2407	浮	838	0
3246	Wenzhou	float	123	浮[vOy2]	1	837	float (V)	2407	浮	837	0
3247	Wenzhou	float	123	推	4	835	float (V)	2407	推	835	0
3248	Taibei	float	123	phu13浮	1	837	float (V)	2407	浮	837	0
3249	Wuhan	float	123	浮	0	838	float (V)	2407	浮	838	0
3250	Wuhan	float	123	漂	1	837	float (V)	2407	浮	837	0
3251	Taiyuan	float	123	漂	0	838	float (V)	2407	浮	838	0
3252	Yuci	float	123	漂	0	838	float (V)	2407	浮	838	0
3253	Changsha	float	123	漂浮	{01}	833	float (V)	2407	漂浮	833	0
3254	Shuangfeng	float	123	袍起*	1a	834	float (V)	2407	袍起*	834	0
#
3255	Guangzhou	flow	124	流	0	841	flow (V)	2421	流	841	0
3256	Suzhou	flow	124	流	0	841	flow (V)	2421	流	841	0
3257	Meixian	flow	124	流	0	841	flow (V)	2421	流	841	0
3258	Nanchang	flow	124	流	0	841	flow (V)	2421	流	841	0
3259	Fuzhou	flow	124	流	0	841	flow (V)	2421	流	841	0
3260	Ningxia	flow	124	淌	2	839	flow (V)	2421	淌	839	0
3261	Lianchang	flow	124	流	0	841	flow (V)	2421	流	841	0
3262	Ningbo	flow	124	流	0	841	flow (V)	2421	流	841	0
3263	Yingshan	flow	124	流	0	841	flow (V)	2421	流	841	0
3264	Chengdu	flow	124	流	0	841	flow (V)	2421	流	841	0
3265	Zhanping	flow	124	流	0	841	flow (V)	2421	流	841	0
3266	Shanghai	flow	124	流	0	841	flow (V)	2421	流	841	0
3267	Shanghai_B	flow	124	流	0	841	flow (V)	2421	流	841	0
3268	Xiamen	flow	124	流	0	841	flow (V)	2421	流	841	0
3269	Anyi	flow	124	流	0	841	flow (V)	2421	流	841	0
3270	Beijing	flow	124	流	0	841	flow (V)	2421	流	841	0
3271	Beijing	flow	124	嘀嗒（da）	1	840	flow (V)	2421	嘀嗒（da）	840	0
3272	Wenzhou	flow	124	流	0	841	flow (V)	2421	流	841	0
3273	Taibei	flow	124	lau13流	0	841	flow (V)	2421	流	841	0
3274	Wuhan	flow	124	流	0	841	flow (V)	2421	流	841	0
3275	Taiyuan	flow	124	流	0	841	flow (V)	2421	流	841	0
3276	Yuci	flow	124	流	0	841	flow (V)	2421	流	841	0
3277	Changsha	flow	124	流	0	841	flow (V)	2421	流	841	0
3278	Shuangfeng	flow	124	流	0	841	flow (V)	2421	流	841	0
#
3279	Guangzhou	flower	125	花	0	843	flower	2424	花	843	0
3280	Suzhou	flower	125	花	0	843	flower	2424	花	843	0
3281	Meixian	flower	125	花	0	843	flower	2424	花	843	0
3282	Nanchang	flower	125	花	0	843	flower	2424	花	843	0
3283	Fuzhou	flower	125	花	0	843	flower	2424	花	843	0
3284	Ningxia	flower	125	花	0	843	flower	2424	花	843	0
3285	Lianchang	flower	125	花	0	843	flower	2424	花	843	0
3286	Ningbo	flower	125	花	0	843	flower	2424	花	843	0
3287	Yingshan	flower	125	花	0	843	flower	2424	花	843	0
3288	Chengdu	flower	125	花	0	843	flower	2424	花	843	0
3289	Zhanping	flower	125	花	0	843	flower	2424	花	843	0
3290	Shanghai	flower	125	花	0	843	flower	2424	花	842	1
3291	Shanghai_B	flower	125	花	0	843	flower	2424	花	843	0
3292	Xiamen	flower	125	花	0	843	flower	2424	花	843	0
3293	Anyi	flower	125	花	0	843	flower	2424	花	843	0
3294	Beijing	flower	125	花儿	0a	842	flower	2424	花儿	842	0
3295	Wenzhou	flower	125	花	0	843	flower	2424	花	843	0
3296	Taibei	flower	125	hue44花	0	843	flower	2424	花	843	0
3297	Wuhan	flower	125	花	0	843	flower	2424	花	843	0
3298	Taiyuan	flower	125	花	0	843	flower	2424	花	843	0
3299	Yuci	flower	125	花儿	0a	842	flower	2424	花儿	842	0
3300	Changsha	flower	125	花	0	843	flower	2424	花	843	0
3301	Shuangfeng	flower	125	花	0	843	flower	2424	花	843	0
#
735	Guangzhou	fly	30	飞	0	147	fly (V)	2433	飞	147	0
736	Suzhou	fly	30	飞	0	147	fly (V)	2433	飞	147	0
737	Meixian	fly	30	飞	0	147	fly (V)	2433	飞	147	0
738	Nanchang	fly	30	飞	0	147	fly (V)	2433	飞	147	0
739	Fuzhou	fly	30	飞	0	147	fly (V)	2433	飞	147	0
740	Ningxia	fly	30	飞	0	147	fly (V)	2433	飞	147	0
741	Lianchang	fly	30	飞	0	147	fly (V)	2433	飞	147	0
742	Ningbo	fly	30	飞	0	147	fly (V)	2433	飞	147	0
743	Yingshan	fly	30	飞	0	147	fly (V)	2433	飞	147	0
744	Chengdu	fly	30	飞	0	147	fly (V)	2433	飞	147	0
745	Zhanping	fly	30	飞	0	147	fly (V)	2433	飞	147	0
746	Shanghai	fly	30	飞	0	147	fly (V)	2433	飞	147	0
747	Shanghai_B	fly	30	飞	0	147	fly (V)	2433	飞	147	0
748	Xiamen	fly	30	飞	0	147	fly (V)	2433	飞	147	0
749	Anyi	fly	30	飞	0	147	fly (V)	2433	飞	147	0
750	Beijing	fly	30	飞	0	147	fly (V)	2433	飞	147	0
751	Wenzhou	fly	30	飞	0	147	fly (V)	2433	飞	147	0
752	Taibei	fly	30	pue44飛	0	147	fly (V)	2433	飞	147	0
753	Wuhan	fly	30	飞	0	147	fly (V)	2433	飞	147	0
754	Taiyuan	fly	30	飞	0	147	fly (V)	2433	飞	147	0
755	Yuci	fly	30	飞	0	147	fly (V)	2433	飞	147	0
756	Changsha	fly	30	飞	0	147	fly (V)	2433	飞	147	0
757	Shuangfeng	fly	30	飞	0	147	fly (V)	2433	飞	147	0
#
3302	Guangzhou	fog	126	雾	0	851	fog	2441	雾	851	0
3303	Suzhou	fog	126	迷露	a2	845	fog	2441	迷露	845	0
3304	Meixian	fog	126	雾	0	851	fog	2441	雾	851	0
3305	Meixian	fog	126	水-蒙纱	b7	853	fog	2441	水-蒙纱	853	0
3306	Nanchang	fog	126	雾	0	851	fog	2441	雾	851	0
3307	Fuzhou	fog	126	雨-矛	3	848	fog	2441	雨-矛	848	0
3308	Ningxia	fog	126	雾	0	851	fog	2441	雾	851	0
3309	Lianchang	fog	126	露	2	849	fog	2441	露	849	0
3310	Ningbo	fog	126	雾	0	851	fog	2441	雾	851	0
3311	Yingshan	fog	126	帐子	6a	844	fog	2441	帐子	844	0
3312	Chengdu	fog	126	雾	0	851	fog	2441	雾	851	0
3313	Zhanping	fog	126	雾	0	851	fog	2441	雾	851	0
3314	Shanghai	fog	126	雾	0	851	fog	2441	雾	851	0
3315	Shanghai_B	fog	126	雾	0	851	fog	2441	雾	851	0
3316	Xiamen	fog	126	雾	0	851	fog	2441	雾	851	0
3317	Xiamen	fog	126	雨-矛	3	848	fog	2441	雨-矛	848	0
3318	Anyi	fog	126	雾露	{02}	854	fog	2441	雾露	854	0
3319	Beijing	fog	126	雾	0	851	fog	2441	雾	851	0
3320	Wenzhou	fog	126	幔	5	846	fog	2441	幔	846	0
3321	Wenzhou	fog	126	雾露[my6 ly6]	{02}	854	fog	2441	雾露	854	0
3322	Taibei	fog	126	bu33霧	0	851	fog	2441	雾	851	0
3323	Wuhan	fog	126	雾	0	851	fog	2441	雾	851	0
3324	Taiyuan	fog	126	雾	0	851	fog	2441	雾	851	0
3325	Yuci	fog	126	雾	0	851	fog	2441	雾	851	0
3326	Changsha	fog	126	雾	0	851	fog	2441	雾	851	0
3327	Changsha	fog	126	罩子	4a	852	fog	2441	罩子	852	0
3328	Shuangfeng	fog	126	雾[罩[子]]	{0(4)}	847	fog	2441	雾[罩[子]]	847	0
3329	Shuangfeng	fog	126	雾[罩[子]]	{04a}	850	fog	2441	雾[罩[子]]	850	0
#
758	Guangzhou	foot	31	脚	1	151	foot	2458	脚	151	0
759	Suzhou	foot	31	脚	1	151	foot	2458	脚	151	0
760	Meixian	foot	31	脚	1	151	foot	2458	脚	151	0
761	Nanchang	foot	31	脚	1	151	foot	2458	脚	151	0
762	Fuzhou	foot	31	骹	2	150	foot	2458	骹	150	0
763	Ningxia	foot	31	脚	1	151	foot	2458	脚	151	0
764	Lianchang	foot	31	脚骨	1a	152	foot	2458	脚骨	152	0
765	Ningbo	foot	31	脚	1	151	foot	2458	脚	151	0
766	Yingshan	foot	31	脚	1	151	foot	2458	脚	151	0
767	Chengdu	foot	31	脚	1	151	foot	2458	脚	151	0
768	Zhanping	foot	31	骹	2	150	foot	2458	骹	150	0
769	Shanghai	foot	31	脚	1	151	foot	2458	脚	151	0
770	Shanghai_B	foot	31	脚	1	151	foot	2458	脚	151	0
771	Xiamen	foot	31	骹	2	150	foot	2458	骹	150	0
772	Anyi	foot	31	脚	1	151	foot	2458	脚	151	0
773	Beijing	foot	31	脚	1	151	foot	2458	脚	151	0
774	Beijing	foot	31	脚[把] 丫儿	1b	148	foot	2458	脚[把] 丫儿	148	0
775	Wenzhou	foot	31	脚[脚]	1	151	foot	2458	脚	151	0
776	Wenzhou	foot	31	脚[脚]	1c	149	foot	2458	脚[脚]	149	0
777	Taibei	foot	31	kha44[骨交]	2	150	foot	2458	骹	150	0
778	Wuhan	foot	31	脚	1	151	foot	2458	脚	151	0
779	Taiyuan	foot	31	脚	1	151	foot	2458	脚	151	0
780	Yuci	foot	31	脚	1	151	foot	2458	脚	151	0
781	Changsha	foot	31	脚	1	151	foot	2458	脚	151	0
782	Shuangfeng	foot	31	脚	1	151	foot	2458	脚	151	0
#
3330	Guangzhou	four	127	四	0	855	four	2508	死	855	0
3331	Suzhou	four	127	四	0	855	four	2508	死	855	0
3332	Meixian	four	127	四	0	855	four	2508	死	855	0
3333	Nanchang	four	127	四	0	855	four	2508	死	855	0
3334	Fuzhou	four	127	四	0	855	four	2508	死	855	0
3335	Ningxia	four	127	死	0	855	four	2508	死	855	0
3336	Lianchang	four	127	四	0	855	four	2508	死	855	0
3337	Ningbo	four	127	四	0	855	four	2508	死	855	0
3338	Yingshan	four	127	四	0	855	four	2508	死	855	0
3339	Chengdu	four	127	四	0	855	four	2508	死	855	0
3340	Zhanping	four	127	四	0	855	four	2508	死	855	0
3341	Shanghai	four	127	四	0	855	four	2508	死	855	0
3342	Shanghai_B	four	127	四	0	855	four	2508	死	855	0
3343	Xiamen	four	127	四	0	855	four	2508	死	855	0
3344	Anyi	four	127	四	0	855	four	2508	死	855	0
3345	Beijing	four	127	四	0	855	four	2508	死	855	0
3346	Wenzhou	four	127	四	0	855	four	2508	死	855	0
3347	Taibei	four	127	si31四	0	855	four	2508	死	855	0
3348	Wuhan	four	127	四	0	855	four	2508	死	855	0
3349	Taiyuan	four	127	四	0	855	four	2508	死	855	0
3350	Yuci	four	127	四	0	855	four	2508	死	855	0
3351	Changsha	four	127	四	0	855	four	2508	死	855	0
3352	Shuangfeng	four	127	四	0	855	four	2508	死	855	0
#
3353	Guangzhou	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3354	Suzhou	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3355	Meixian	freeze	128	落khen53	3	858	freeze (V)	2528	落khen53	858	0
3356	Nanchang	freeze	128	冻凌	0	861	freeze (V)	2528	冻	859	1
3357	Nanchang	freeze	128	结凌	2	859	freeze (V)	2528	结凌	859	0
3358	Fuzhou	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3359	Ningxia	freeze	128	冻冰	0	861	freeze (V)	2528	冻	861	0
3360	Lianchang	freeze	128	[]khang11	4	857	freeze (V)	2528	[]khang11	857	0
3361	Ningbo	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3362	Yingshan	freeze	128	结凌冰	2	859	freeze (V)	2528	结凌	859	0
3363	Chengdu	freeze	128	冻	0	861	freeze (V)	2528	冻	861	0
3364	Zhanping	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3365	Shanghai	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3366	Shanghai_B	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3367	Xiamen	freeze	128	凝霜	1	860	freeze (V)	2528	凝霜	860	0
3368	Xiamen	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3369	Anyi	freeze	128	结冰凌哩	2	859	freeze (V)	2528	结凌	859	0
3370	Beijing	freeze	128	冻冰	0	861	freeze (V)	2528	冻	861	0
3371	Wenzhou	freeze	128	结冰	2	859	freeze (V)	2528	结凌	859	0
3372	Taibei	freeze	128	kiat32 ping44結冰	2	859	freeze (V)	2528	结凌	859	0
3373	Wuhan	freeze	128	下凌	2	859	freeze (V)	2528	结凌	859	0
3374	Taiyuan	freeze	128	冻冰	0	861	freeze (V)	2528	冻	861	0
3375	Yuci	freeze	128	冰冻	0	861	freeze (V)	2528	冻	861	0
3376	Changsha	freeze	128	构凌	5	856	freeze (V)	2528	构凌	856	0
3377	Changsha	freeze	128	结凌冰	2	859	freeze (V)	2528	结凌	859	0
3378	Shuangfeng	freeze	128	构起	5	856	freeze (V)	2528	构凌	856	0
#
3379	Guangzhou	fruit	129	生果	b0	868	fruit	2553	生果	868	0
3380	Suzhou	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3381	Meixian	fruit	129	果作*	0b	866	fruit	2553	果作*	866	0
3382	Meixian	fruit	129	生果	b0	868	fruit	2553	生果	868	0
3383	Meixian	fruit	129	青果	c0	867	fruit	2553	青果	867	0
3384	Nanchang	fruit	129	果子	0a	865	fruit	2553	果子	865	0
3385	Fuzhou	fruit	129	果子	0a	865	fruit	2553	果子	865	0
3386	Ningxia	fruit	129	果子、	0a	865	fruit	2553	果子	865	0
3387	Lianchang	fruit	129	果子[指野果]	0a	865	fruit	2553	果子	865	0
3388	Ningbo	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3389	Yingshan	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3390	Chengdu	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3391	Zhanping	fruit	129	果子	0a	865	fruit	2553	果子	865	0
3392	Zhanping	fruit	129	水果	0a	865	fruit	2553	果子	865	0
3393	Shanghai	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3394	Shanghai_B	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3395	Xiamen	fruit	129	果子	0a	865	fruit	2553	果子	865	0
3396	Anyi	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3397	Beijing	fruit	129	果子	0a	865	fruit	2553	果子	865	0
3398	Wenzhou	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3399	Taibei	fruit	129	kue53 tsi53果子	0a	865	fruit	2553	果子	865	0
3400	Wuhan	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3401	Taiyuan	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3402	Yuci	fruit	129	果	0	864	fruit	2553	果	864	0
3403	Changsha	fruit	129	水果	a0	863	fruit	2553	水果	863	0
3404	Shuangfeng	fruit	129	果子实	a0	863	fruit	2553	水果	863	0
3405	Shuangfeng	fruit	129	水果	a0b	862	fruit	2553	水果	862	0
#
783	Guangzhou	full	32	满	1	154	full	2561	满	154	0
784	Suzhou	full	32	满	1	154	full	2561	满	154	0
785	Meixian	full	32	满	1	154	full	2561	满	154	0
786	Nanchang	full	32	满	1	154	full	2561	满	154	0
787	Fuzhou	full	32	满	1	154	full	2561	满	154	0
788	Fuzhou	full	32	滇	2	153	full	2561	滇	153	0
789	Ningxia	full	32	满	1	154	full	2561	满	154	0
790	Lianchang	full	32	满	1	154	full	2561	满	154	0
791	Ningbo	full	32	满	1	154	full	2561	满	154	0
792	Yingshan	full	32	满	1	154	full	2561	满	154	0
793	Chengdu	full	32	满	1	154	full	2561	满	154	0
794	Zhanping	full	32	满	1	154	full	2561	满	154	0
795	Zhanping	full	32	tn6	2	153	full	2561	滇	153	0
796	Shanghai	full	32	满	1	154	full	2561	满	154	0
797	Shanghai_B	full	32	满	1	154	full	2561	满	154	0
798	Xiamen	full	32	*滇ti~33	2	153	full	2561	滇	153	0
799	Anyi	full	32	满	1	154	full	2561	满	154	0
800	Beijing	full	32	满	1	154	full	2561	满	154	0
801	Wenzhou	full	32	满	1	154	full	2561	满	154	0
802	Taibei	full	32	tiN33 水簟[簟字左邊加三點水]	2	153	full	2561	滇	153	0
803	Wuhan	full	32	满	1	154	full	2561	满	154	0
804	Taiyuan	full	32	满	1	154	full	2561	满	154	0
805	Yuci	full	32	满	1	154	full	2561	满	154	0
806	Changsha	full	32	满	1	154	full	2561	满	154	0
807	Shuangfeng	full	32	满	1	154	full	2561	满	154	0
#
808	Guangzhou	give	33	畀	7	157	give (V)	2648	畀	157	0
809	Suzhou	give	33	拨	4	160	give (V)	2648	拨	160	0
810	Meixian	give	33	分	5	159	give (V)	2648	分	159	0
811	Nanchang	give	33	把	2	162	give (V)	2648	把	162	0
812	Nanchang	give	33	给	3	161	give (V)	2648	给	161	0
813	Fuzhou	give	33	乞	8	156	give (V)	2648	乞	156	0
814	Ningxia	give	33	给	3	161	give (V)	2648	给	161	0
815	Lianchang	give	33	拿	6	158	give (V)	2648	拿	158	0
816	Lianchang	give	33	分	5	159	give (V)	2648	分	159	0
817	Ningbo	give	33	pa~55	9	155	give (V)	2648	pa~55	155	0
818	Yingshan	give	33	把	2	162	give (V)	2648	把	162	0
819	Chengdu	give	33	给	3	161	give (V)	2648	给	161	0
820	Zhanping	give	33	与	0	164	give (V)	2648	与	164	0
821	Zhanping	give	33	分	5	159	give (V)	2648	分	159	0
822	Shanghai	give	33	拨	4	160	give (V)	2648	拨	160	0
823	Shanghai_B	give	33	拨	4	160	give (V)	2648	拨	160	0
824	Xiamen	give	33	*互33	10	168	give (V)	2648	*互33	168	0
825	Anyi	give	33	搦得	11a	167	give (V)	2648	搦得	167	0
826	Beijing	give	33	给	3	161	give (V)	2648	给	161	0
827	Wenzhou	give	33	贝-甘	12	166	give (V)	2648	贝-甘	166	0
828	Taibei	give	33	hoo33?	13	165	give (V)	2648	hoo33?	165	0
829	Wuhan	give	33	把	2	162	give (V)	2648	把	162	0
830	Wuhan	give	33	给	3	161	give (V)	2648	给	161	0
831	Taiyuan	give	33	给	3	161	give (V)	2648	给	161	0
832	Yuci	give	33	给	3	161	give (V)	2648	给	161	0
833	Changsha	give	33	把	2	162	give (V)	2648	把	162	0
834	Shuangfeng	give	33	[]le55 耗*	1	163	give (V)	2648	[]le55 耗*	163	0
#
835	Guangzhou	good	34	好	1	173	good	2724	好	173	0
836	Guangzhou	good	34	女-赞	5	169	good	2724	女-赞	169	0
837	Suzhou	good	34	好，美，赞*	1	173	good	2724	好	173	0
838	Meixian	good	34	好，赞*	1	173	good	2724	好	173	0
839	Nanchang	good	34	好	1	173	good	2724	好	173	0
840	Fuzhou	good	34	好	1	173	good	2724	好	173	0
841	Ningxia	good	34	好	1	173	good	2724	好	173	0
842	Lianchang	good	34	好	1	173	good	2724	好	173	0
843	Ningbo	good	34	好	1	173	good	2724	好	173	0
844	Yingshan	good	34	好	1	173	good	2724	好	173	0
845	Chengdu	good	34	好	1	173	good	2724	好	173	0
846	Zhanping	good	34	好	1	173	good	2724	好	173	0
847	Shanghai	good	34	好	1	173	good	2724	好	173	0
848	Shanghai	good	34	灵光	4	170	good	2724	灵光	170	0
849	Shanghai_B	good	34	好	1	173	good	2724	好	173	0
850	Shanghai_B	good	34	灵光	4	170	good	2724	灵光	170	0
851	Xiamen	good	34	好	1	173	good	2724	好	173	0
852	Anyi	good	34	好	1	173	good	2724	好	173	0
853	Beijing	good	34	好	1	173	good	2724	好	173	0
854	Beijing	good	34	强	3	171	good	2724	强	171	0
855	Wenzhou	good	34	好	1	173	good	2724	好	173	0
856	Taibei	good	34	ho53好	1	173	good	2724	好	173	0
857	Wuhan	good	34	好	1	173	good	2724	好	173	0
858	Wuhan	good	34	傲*	2	172	good	2724	傲*	172	0
859	Taiyuan	good	34	好	1	173	good	2724	好	173	0
860	Yuci	good	34	好	1	173	good	2724	好	173	0
861	Changsha	good	34	好	1	173	good	2724	好	173	0
862	Shuangfeng	good	34	好	1	173	good	2724	好	173	0
#
3406	Guangzhou	grass	130	草	0	869	grass	2750	草	869	0
3407	Suzhou	grass	130	草	0	869	grass	2750	草	869	0
3408	Meixian	grass	130	草	0	869	grass	2750	草	869	0
3409	Nanchang	grass	130	草	0	869	grass	2750	草	869	0
3410	Fuzhou	grass	130	草	0	869	grass	2750	草	869	0
3411	Ningxia	grass	130	草	0	869	grass	2750	草	869	0
3412	Lianchang	grass	130	草	0	869	grass	2750	草	869	0
3413	Ningbo	grass	130	草	0	869	grass	2750	草	869	0
3414	Yingshan	grass	130	草	0	869	grass	2750	草	869	0
3415	Chengdu	grass	130	草	0	869	grass	2750	草	869	0
3416	Zhanping	grass	130	草	0	869	grass	2750	草	869	0
3417	Shanghai	grass	130	草	0	869	grass	2750	草	869	0
3418	Shanghai_B	grass	130	草	0	869	grass	2750	草	869	0
3419	Xiamen	grass	130	草[zhou:289]	0	869	grass	2750	草	869	0
3420	Anyi	grass	130	草	0	869	grass	2750	草	869	0
3421	Beijing	grass	130	草	0	869	grass	2750	草	869	0
3422	Wenzhou	grass	130	草	0	869	grass	2750	草	869	0
3423	Taibei	grass	130	tsau53草	0	869	grass	2750	草	869	0
3424	Wuhan	grass	130	草	0	869	grass	2750	草	869	0
3425	Taiyuan	grass	130	草	0	869	grass	2750	草	869	0
3426	Yuci	grass	130	草	0	869	grass	2750	草	869	0
3427	Changsha	grass	130	草	0	869	grass	2750	草	869	0
3428	Shuangfeng	grass	130	草	0	869	grass	2750	草	869	0
#
863	Guangzhou	grease	35	猪油	a1	175	fat	2760	大油	175	0
864	Guangzhou	grease	35	猪膏	a4	174	fat	2760	猪膏	174	0
865	Suzhou	grease	35	油	1	177	fat	2760	油	177	0
866	Meixian	grease	35	油	1	177	fat	2760	油	177	0
867	Nanchang	grease	35	油	1	177	fat	2760	油	177	0
868	Fuzhou	grease	35	猪油	a1	175	fat	2760	大油	175	0
869	Ningxia	grease	35	大油	b1	180	fat	2760	荤油	180	0
870	Lianchang	grease	35	油	1	177	fat	2760	油	177	0
871	Ningbo	grease	35	油脂	{13}	178	fat	2760	油脂	178	0
872	Yingshan	grease	35	油	1	177	fat	2760	油	177	0
873	Yingshan	grease	35	膘	2	176	fat	2760	膘	176	0
874	Chengdu	grease	35	猪油	a1	175	fat	2760	大油	175	0
875	Zhanping	grease	35	油	1	177	fat	2760	油	177	0
876	Shanghai	grease	35	油	1	177	fat	2760	油	175	1
877	Shanghai_B	grease	35	油	1	177	fat	2760	油	177	0
878	Xiamen	grease	35	油	1	177	fat	2760	油	177	0
879	Anyi	grease	35	猪油	a1	175	fat	2760	大油	175	0
880	Beijing	grease	35	大油	a1	175	fat	2760	大油	175	0
881	Beijing	grease	35	猪油	b1	180	fat	2760	荤油	180	0
882	Beijing	grease	35	荤油	c1	179	fat	2760	荤油	179	0
883	Wenzhou	grease	35	猪油	a1	175	fat	2760	大油	175	0
884	Taibei	grease	35	ti44 iu13豬油	a1	175	fat	2760	大油	175	0
885	Wuhan	grease	35	猪油	a1	175	fat	2760	大油	175	0
886	Taiyuan	grease	35	猪油	a1	175	fat	2760	大油	175	0
887	Taiyuan	grease	35	荤油	b1	180	fat	2760	荤油	180	0
888	Taiyuan	grease	35	大油	c1	179	fat	2760	荤油	179	0
889	Yuci	grease	35	猪油	a1	175	fat	2760	大油	175	0
890	Changsha	grease	35	油	1	177	fat	2760	油	177	0
891	Shuangfeng	grease	35	猪油	a1	175	fat	2760	大油	175	0
#
892	Guangzhou	green	36	绿	0	182	green	2766	绿	182	0
893	Suzhou	green	36	绿	0	182	green	2766	绿	182	0
894	Meixian	green	36	青（“绿”只指“绿豆”）	1	181	green	2766	青	181	0
895	Nanchang	green	36	绿	0	182	green	2766	绿	182	0
896	Fuzhou	green	36	绿	0	182	green	2766	绿	182	0
897	Ningxia	green	36	绿	0	182	green	2766	绿	182	0
898	Lianchang	green	36	青	1	181	green	2766	青	181	0
899	Ningbo	green	36	绿	0	182	green	2766	绿	182	0
