arbre	w-2-1	1.41	0.34
parsimony	w-2-1	1.46	0.37
shuxingtu	w-2-1	1.49	0.39
southern_chinese	w-2-1	1.47	0.36
upgma	w-2-1	1.50	0.38
neighbor_joining	w-2-1	1.43	0.35
random	w-2-1	1.73	0.52
arbre	w-2-1	1.41	0.34
parsimony	w-2-1	1.46	0.37
shuxingtu	w-2-1	1.49	0.39
southern_chinese	w-2-1	1.47	0.36
upgma	w-2-1	1.50	0.38
neighbor_joining	w-2-1	1.43	0.35
random	w-2-1	1.73	0.52
