arbre	with borrowing	81	148	107	0.76	0.55	0.64
arbre	no borrowing  	94	148	148	0.64	0.64	0.64
southern_chinese	with borrowing	83	148	132	0.63	0.56	0.59
southern_chinese	no borrowing  	114	148	225	0.52	0.77	0.62
shuxingtu	with borrowing	86	148	119	0.72	0.58	0.64
shuxingtu	no borrowing  	115	148	215	0.54	0.78	0.64
